City,Latitude,Longitude
Barnsley,53.55277189912479,-1.4827755
Basildon,51.57546019916273,0.4757363
Bedford,52.13638059910675,-0.4675041
Blackburn,53.74932599914784,-2.4840565999999997
Blackpool,53.81822119915719,-3.0564845
Bolton,53.57828629912746,-2.4300367
Bournemouth,50.719478399300655,-1.8767712
Braintree,51.87806369912867,0.5537160999999999
Bridgend,51.50498429917186,-3.5756673999999995
Bury,53.59275429912905,-2.2972827
Caerphilly,51.57454319916284,-3.2208486999999995
Colchester,51.88969029912751,0.8994651
Doncaster,53.52276809912173,-1.1335312
Dudley,52.51108319908777,-2.0816813
Eastleigh,50.967593799255084,-1.3528183
Falkirk,55.99919589978771,-3.784376
Gateshead,54.962578899409266,-1.6019293999999997
Guildford,51.235606799210736,-0.5732063
Harrogate,53.992149099183706,-1.5391039
Horsham,51.06302729923868,-0.3295028
Ipswich,52.05794949911268,1.1526345
Luton,51.87843849912863,-0.4152836999999999
Macclesfield,53.26066349910021,-2.1255157999999996
Maidstone,51.274825799204685,0.5231646000000001
Middlesbrough,54.549240227974515,-1.2219572377787187
Milton Keynes,52.042979699113886,-0.7589607
Newbury,51.402005499186004,-1.3236425
Newcastle-under-Lyme,53.011762699088216,-2.2273919
Newport,50.70037069930432,-1.2952039
Northampton,52.23813549910005,-0.8963906999999999
Oldham,53.54157969912363,-2.1147831
Poole,50.71794719930093,-1.9815209999999996
Reading,51.45665899917837,-0.9696511999999999
Rochdale,53.61536589913155,-2.1557561
Rotherham,53.43104169911316,-1.3551869999999997
Scarborough,54.282000899237325,-0.4011868
Sevenoaks,51.271965399205136,0.19143859999999996
Slough,51.51110139917105,-0.5940682
Solihull,52.4130188990912,-1.7768935
Southend-on-Sea,51.53882409916739,0.7128137
Stafford,52.80631569908432,-2.1163817999999996
St Helens,53.453547099115156,-2.7343230999999997
Stockport,53.40790099911117,-2.160243
Stockton-on-Tees,54.56795288983797,-1.3280142198299791
Stroud,51.745423999142496,-2.2198605
Walsall,52.58479489908593,-1.9822686999999999
Warrington,53.389949699109685,-2.5943178
Warwick,52.281451899097554,-1.5815742000000002
Wigan,53.545718799124074,-2.6264624
Wokingham,51.412031799184575,-0.8324036999999999
